


User 5%, System 5%, IOW 0%, IRQ 0%
User 16 + Nice 0 + Sys 18 + Idle 273 + IOW 0 + IRQ 0 + SIRQ 0 = 307

  PID PR CPU% S  #THR     VSS     RSS PCY UID      Name
11890  0   5% R     1   2648K    948K     shell    top
 4735  2   0% S    16 916880K  13564K  fg u0_a150  com.visionobjects.resourcemanager
 4932  1   0% S     1      0K      0K     root     kworker/1:2H
 5536  2   0% S    12 952068K  36568K  bg u0_a21   com.android.contacts
 5602  2   0% S    16 921324K  24628K  bg u0_a219  net.mobigame.zombietsunami
 5660  0   0% S     1      0K      0K     root     kworker/0:3H
 5686  0   0% S    35 956632K  32592K  bg u0_a207  com.whatsapp
 5734  0   0% S    18 960244K  33124K  bg u0_a173  com.android.email
 5752  2   0% S     1      0K      0K     root     kworker/2:2H
 5762  0   0% S    57 1066092K  62760K  bg u0_a208  com.facebook.katana
 6338  3   0% S     1      0K      0K     root     kworker/3:0H
 6776  3   0% S     1      0K      0K     root     kworker/3:2H
 7598  0   0% S    12 1008352K  74304K  bg system   com.android.settings
 7652  0   0% S    14 922972K  28476K  bg u0_a168  com.sec.android.app.music:service
 7666  2   0% S    12 919220K  23412K  bg u0_a168  com.sec.android.app.music:provider
 7759  0   0% S    10 911936K  23196K  bg u0_a58   com.sec.android.app.soundalive
 7919  0   0% S    33 936976K  15164K  bg u0_a79   com.sec.android.allshare.service.mediashare
 8173  1   0% S     1      0K      0K     root     kworker/1:3
 9315  0   0% S     1      0K      0K     root     kworker/u8:20
 9459  0   0% S     1      0K      0K     root     irq/417-
 9527  0   0% S     1      0K      0K     root     kworker/0:0
 9707  0   0% S     5   4600K    228K     shell    /sbin/adbd
10089  0   0% S    18 986712K  47668K  fg radio    com.android.incallui
10484  3   0% S     1      0K      0K     root     kworker/3:0
    1  0   0% S     1   1424K    800K     root     /init
10849  0   0% S    20 937728K  40152K  bg u0_a201  jp.naver.line.android
10929  0   0% S    12 938060K  34472K  bg u0_a48   com.sec.android.gallery3d
10946  0   0% S    12 923672K  27308K  bg u0_a44   com.samsung.android.sdk.samsunglink
10961  1   0% S    24 948420K  39820K  bg u0_a50   com.android.mms
10988  2   0% S    10 918984K  26240K  bg u0_a113  com.sec.android.GeoLookout
11001  2   0% S     9 909452K  20260K  bg u0_a170  com.sec.android.widgetapp.activeapplicationwidget
11169  1   0% S    12 972100K  36352K  fg system   com.samsung.SMT
11191  2   0% S     9 911584K  23260K  bg u0_a40   com.sec.spp.push:RemoteDlcProcess
11218  0   0% S    33 954116K  41960K  bg u0_a111  com.google.android.apps.maps
11278  1   0% S     9 910792K  21156K  bg u0_a2    com.sec.android.cloudagent
11292  2   0% S     9 909472K  20088K  bg system   com.sec.android.Kies
11304  3   0% S     9 918176K  24584K  bg u0_a54   com.sec.android.app.videoplayer
11316  0   0% S    11 912352K  23396K  bg u0_a126  com.google.android.apps.uploader
11332  1   0% S     9 917708K  24768K  bg u0_a89   com.android.chrome
11345  3   0% S     9 911540K  34464K  bg system   com.sec.android.app.popupuireceiver
11439  1   0% S    17 923096K  28844K  fg system   com.samsung.android.MtpApplication
11451  1   0% S     9 911432K  22436K  bg u0_a64   com.samsung.android.scloud.backup
11471  1   0% S    11 919436K  28848K  bg u0_a35   com.vlingo.midas
11521  0   0% S     1    936K    496K     shell    /system/bin/sh
11533  0   0% S    44 1062920K  84508K  fg u0_a135  com.google.android.music:ui
11620  0   0% S     1      0K      0K     root     kworker/u8:27
11654  0   0% S     1      0K      0K     root     kworker/u8:64
11661  0   0% S     1      0K      0K     root     kworker/u8:71
11756  0   0% S     1      0K      0K     root     kworker/0:1
11801  0   0% S     1      0K      0K     root     kworker/0:2
11806  0   0% S     1      0K      0K     root     kworker/0:0H
11808  0   0% S     1      0K      0K     root     kworker/u8:0
11809  1   0% S     1      0K      0K     root     kworker/u8:2
11889  0   0% S     1   1768K    852K     system   /system/bin/smdexe
13647  1   0% S    22 962836K  24400K  bg u0_a37   com.sec.android.app.shealth
13801  0   0% S    11 914756K  23964K  bg u0_a192  com.sec.android.daemonapp
14070  0   0% S    14 919304K  16828K  bg u0_a174  com.android.exchange
14220  1   0% S     9 914880K  17616K  bg u0_a45   com.osp.app.signin
14684  1   0% Z     1      0K      0K     radio    rild
14883  0   0% S     9 910552K  15144K  bg system   com.sec.android.service.sm
14927  2   0% S     9 909448K  14904K  bg u0_a30   com.sec.android.pagebuddynotisvc
15008  2   0% S     9 909284K  14644K  bg system   com.qualcomm.svi
15100  3   0% S     1      0K      0K     root     kworker/3:3
16110  1   0% S    14 950096K  18828K  bg u0_a13   com.google.android.gms.wearable
16183  1   0% S    34 966008K  51332K  fg u0_a135  com.google.android.music:main
16219  0   0% S    13 916692K  27124K  bg u0_a5    com.samsung.android.providers.context
17069  0   0% S    16 917736K  18956K  bg system   com.samsung.android.fingerprint.service
17087  2   0% S    10 919300K  16076K  bg u0_a217  com.getperx.perx
17308  1   0% S    13 916036K  25448K  bg u0_a40   com.sec.spp.push
17374  0   0% S     9 909692K  15176K  bg system   com.sec.android.app.parser
20440  1   0% S     9 913064K  16452K  bg u0_a119  com.samsung.android.internal.headlines
20478  3   0% S    35 949444K  32328K  bg u0_a32   com.android.vending
23365  1   0% S     1      0K      0K     root     kworker/1:1H
23528  1   0% S     1      0K      0K     root     kworker/1:1
25653  1   0% S    22 926332K  17224K  fg u0_a36   com.samsung.android.app.galaxyfinder:tagService
28733  0   0% S    39 1097636K  39632K  bg u0_a13   com.google.android.gms
29249  1   0% S     9 917968K  17688K  bg u0_a211  sg.com.mcd.mcdalarm
29332  0   0% S     1      0K      0K     root     VosMCThread
29333  1   0% S     1      0K      0K     root     VosTXThread
29334  1   0% S     1      0K      0K     root     VosRXThread
29335  0   0% S     1      0K      0K     root     VosTlshimRxThre
31106  1   0% S     1      0K      0K     root     kworker/1:2
31319  1   0% S     1      0K      0K     root     kworker/1:0H
10774  3   0% S    18 943976K  33024K  bg u0_a145  com.google.android.apps.plus
    2  0   0% S     1      0K      0K     root     kthreadd
    7  0   0% S     1      0K      0K     root     migration/0
    8  0   0% S     1      0K      0K     root     rcu_preempt
    9  0   0% S     1      0K      0K     root     rcu_bh
   10  0   0% S     1      0K      0K     root     rcu_sched
   11  1   0% R     1      0K      0K     root     migration/1
   12  1   0% R     1      0K      0K     root     ksoftirqd/1
   15  2   0% R     1      0K      0K     root     migration/2
   16  2   0% R     1      0K      0K     root     ksoftirqd/2
   17  2   0% S     1      0K      0K     root     kworker/2:0
